sample_id,group,batch,measure_1,tx_count_total,genes_detected,mito_fraction,ribo_fraction,mean_gc_percent,duplication_rate,median_tx_length,counts_gene_of_interest,target_a,target_b
GEN-509597,TreatmentB,B02,86.72,740134,17721,0.0099,0.1545,45.27,0.2114,992,528,1,1
GEN-501049,TreatmentA,B01,110.29,1509965,18092,0.0793,0.0591,48.6,0.2686,3205,762,1,0
GEN-501056,TreatmentB,B02,109.2,4641914,13936,0.0757,0.0521,42.97,0.1725,1195,696,1,0
GEN-506431,TreatmentA,B02,111.72,1384244,19218,0.004,0.152,44.72,0.1425,2097,264,1,1
GEN-509190,TreatmentB,B02,118.57,2170969,12458,0.1162,0.0804,46.61,0.3821,1734,697,0,0
GEN-501936,Control,B01,98.69,1901665,15894,0.0537,0.0918,46.69,0.233,1279,957,1,1
GEN-506839,Control,B03,98.36,1811830,11128,0.0744,0.1227,48.4,0.2935,1565,508,0,0
GEN-505148,Control,B02,100.88,2362686,14790,0.0365,0.1037,47.15,0.2195,1508,644,1,0
GEN-505270,TreatmentA,B01,112.15,2901248,13334,0.0544,0.2173,48.04,0.353,3003,334,0,1
GEN-504377,Control,B01,60.71,2200736,10653,0.0411,0.1805,48.62,0.1655,1656,-90,0,0
GEN-507711,Control,B02,76.09,1778677,13757,0.163,0.2534,44.31,0.3271,913,240,0,1
GEN-501684,TreatmentB,B01,94.8,1552964,15418,0.0265,0.1905,45.32,0.2816,4475,842,1,1
GEN-504611,TreatmentA,B01,103.53,1106818,17174,0.0793,0.1662,45.71,0.1155,1446,532,0,0
GEN-503223,TreatmentB,B01,94.85,1561018,15877,0.1032,0.1566,44.65,0.1896,1725,500,0,1
GEN-503160,TreatmentB,B03,107.03,1706728,15353,0.0797,0.122,44.7,0.1927,2395,860,1,1
GEN-503327,Control,B03,90.3,1037795,16978,0.023,0.3116,45.78,0.0669,1272,274,0,0
GEN-507943,Control,B01,92.65,2874194,16416,0.0556,0.1977,46.17,0.0987,1553,676,0,0
GEN-501509,TreatmentB,B02,125.18,1778328,18790,0.0287,0.115,48.5,0.0909,1853,638,1,1
GEN-502203,Control,B03,87.11,708049,11424,0.0234,0.0689,48.18,0.1451,857,346,0,1
