sample_id,group,batch,measure_1,nuclei_count,mean_nuclear_area,mean_cell_area,mean_intensity_dapi,mean_intensity_gfp,nuclear_circularity,fraction_in_focus,background_sd,target_a,target_b
IMG-500819,Control,B03,93.53,235,201.92,679.64,1751.7,368.9,0.7335,0.9121,16.64,0,0
IMG-500923,TreatmentB,B01,60.73,262,176.39,698.04,1378.5,995.7,0.9135,0.9562,17.49,0,1
IMG-500299,TreatmentA,B02,82.06,224,271.56,657.6,1594.7,534.6,0.9045,0.8838,17.15,1,0
IMG-500941,TreatmentB,B01,124.59,248,220.59,630.5,1415.8,1660.9,0.7047,0.944,41.91,1,0
IMG-500903,TreatmentA,B03,89.46,250,194.54,496.87,1177.7,599.6,0.769,0.9637,23.73,1,1
IMG-500182,TreatmentB,B01,93.46,225,199.51,775.34,1216.7,995.8,0.7299,0.9148,37.78,1,1
IMG-500170,Control,B01,123.72,242,175.28,631.65,1540.8,451.8,0.8822,0.7491,12.22,0,0
IMG-500596,TreatmentB,B01,99.34,249,219.79,509.8,1322.7,830.8,0.9478,0.8937,13.53,0,0
IMG-500817,Control,B03,104.2,228,166.45,968.04,1247.4,1326.1,0.9608,0.969,20.94,1,0
IMG-500948,TreatmentA,B02,73.14,244,239.05,724.41,1725.3,363.5,0.8906,0.9011,14.53,0,0
IMG-500712,TreatmentA,B02,95.44,230,198.2,1137.71,1875.8,529.6,0.6851,0.9729,33.44,0,1
IMG-500121,TreatmentB,B02,104.38,247,188.19,853.46,1654.1,977.8,0.8642,0.969,20.86,0,1
IMG-500756,TreatmentA,B01,98.06,232,204.51,953.28,1480.1,299.7,0.9483,0.8637,22.58,0,0
IMG-500419,TreatmentB,B02,90.31,237,134.35,411.04,1698.8,872.2,0.8659,0.9832,17.28,1,0
IMG-500797,TreatmentB,B03,91.38,257,151.3,933.12,1143.8,1494.5,0.6998,0.9016,13.45,1,0
IMG-500461,Control,B03,64.5,256,214.56,788.56,1367.3,353.1,0.8975,0.9366,23.78,0,0
IMG-500492,Control,B02,105.5,253,196.61,647.79,1195.5,1.1,0.7848,0.8059,19.25,0,1
IMG-500650,TreatmentB,B03,85.66,228,147.29,682.91,1428.7,721.6,0.6326,0.9448,16.23,0,0
IMG-500495,TreatmentA,B01,100.52,266,253.18,471.22,1490.8,597.5,0.7858,0.9546,20.92,1,0
IMG-500904,TreatmentA,B02,110.91,274,203.8,851.87,1350.7,573.2,0.8703,0.8118,20.47,0,1
IMG-500609,TreatmentB,B02,92.33,256,141.79,824.17,1243.5,774.7,0.95,0.8147,22.99,0,0
IMG-500303,TreatmentB,B03,99.45,237,179.14,728.54,1585.5,819.5,0.9437,0.9169,22.67,0,1
IMG-500485,Control,B01,94.12,244,146.95,635.31,1488.9,263.0,0.8103,0.9205,32.39,0,0
IMG-500720,TreatmentB,B01,102.42,256,200.56,1116.51,1278.2,745.2,0.8946,0.9937,21.57,1,0
IMG-500234,Control,B03,90.67,255,164.52,764.73,1240.3,182.3,0.6488,0.9641,25.36,0,0
IMG-500798,Control,B01,97.36,224,148.16,579.34,899.6,80.5,0.8611,0.9586,21.82,0,1
IMG-500679,TreatmentA,B02,85.58,227,165.07,810.58,1024.2,561.7,0.8941,0.9281,22.45,0,0
IMG-500218,TreatmentA,B03,91.09,257,187.25,716.64,1085.5,773.7,0.6436,0.854,22.89,1,1
IMG-500793,TreatmentA,B03,109.67,233,188.38,650.26,1515.7,532.8,0.7398,0.8933,13.82,0,0
IMG-500806,TreatmentA,B03,113.77,240,156.92,737.55,1533.2,384.7,0.8006,0.9701,19.48,0,0
IMG-500477,TreatmentA,B02,93.29,230,102.56,642.86,905.9,1092.2,0.78,0.8699,19.07,1,0
IMG-500646,TreatmentA,B02,100.92,243,209.33,767.24,1624.3,853.4,0.8585,0.8393,15.15,0,1
IMG-500141,Control,B02,87.4,232,164.86,571.07,1419.0,30.6,0.7244,0.7057,23.72,0,1
IMG-500544,TreatmentB,B03,127.09,241,205.81,630.68,1751.2,794.4,0.7358,0.9048,9.73,1,0
IMG-500282,TreatmentB,B02,98.93,251,189.86,822.66,932.0,881.0,0.8854,0.9684,23.06,1,1
IMG-500202,TreatmentA,B02,90.2,233,217.54,811.81,1565.3,684.2,0.9396,0.8862,27.34,0,1
IMG-500464,Control,B03,91.36,234,154.91,924.88,1405.7,962.5,0.8288,0.8909,14.02,1,1
IMG-500034,TreatmentB,B01,86.93,242,206.82,818.08,1555.2,897.4,0.6767,0.773,26.58,1,1
IMG-500643,TreatmentB,B02,79.09,281,230.16,679.6,1769.9,792.6,0.8902,0.9285,18.62,1,0
IMG-500219,TreatmentB,B03,96.97,271,138.72,519.56,1341.6,605.5,0.81,0.9223,6.39,0,0
IMG-500348,TreatmentB,B01,108.1,250,188.34,773.82,1605.5,556.8,0.4707,0.9787,7.63,0,1
IMG-500860,TreatmentB,B01,102.76,257,252.71,1010.45,1831.5,1161.8,0.8218,0.8923,16.54,0,1
IMG-500990,TreatmentB,B02,89.55,275,212.07,594.15,1310.7,882.6,0.8616,0.9029,28.23,1,1
IMG-500087,TreatmentA,B03,88.11,241,188.76,554.11,1276.2,504.2,0.8325,0.9737,42.23,1,1
IMG-500324,Control,B01,89.73,242,150.84,694.15,1774.6,146.3,0.85,0.9618,22.28,0,0
IMG-500309,Control,B03,79.43,199,150.0,651.37,1622.6,178.6,0.8225,0.9784,19.1,0,0
IMG-500597,TreatmentB,B03,97.78,234,151.56,845.7,1035.1,973.4,0.6667,0.9354,16.6,1,0
IMG-500823,TreatmentA,B01,115.66,244,155.32,601.18,1281.4,1204.9,0.7901,0.8837,14.9,1,1
IMG-500157,TreatmentA,B03,94.95,235,187.23,918.55,1537.6,1564.9,0.87,0.914,19.28,1,1
IMG-500639,TreatmentA,B02,100.83,234,224.53,711.89,1866.3,611.9,0.702,0.8888,22.15,1,0
IMG-500963,TreatmentB,B01,82.24,239,204.37,737.6,1707.5,1073.3,0.9376,0.9086,18.85,1,1
IMG-500908,Control,B01,101.9,244,111.34,715.08,1780.3,927.6,0.6831,0.9417,35.18,1,0
IMG-500980,Control,B03,78.71,225,184.87,471.01,1749.7,847.9,0.666,0.9451,19.13,0,1
IMG-501000,TreatmentA,B02,103.48,233,204.44,751.61,1338.8,592.4,0.9124,0.8746,10.74,0,1
IMG-500945,Control,B02,86.11,241,213.84,938.84,1466.4,445.0,0.8136,0.9515,13.53,0,1
IMG-500449,Control,B03,85.04,240,256.7,696.59,1548.2,250.5,0.6399,0.9729,31.55,0,1
IMG-500048,TreatmentB,B02,107.4,243,256.11,640.93,1415.1,1543.6,0.8067,0.8523,21.7,1,0
IMG-500537,TreatmentA,B01,104.74,216,175.07,461.24,1828.6,619.4,0.7572,0.9913,28.27,1,0
IMG-500286,Control,B03,98.85,235,228.42,449.07,1653.4,243.1,0.898,0.8611,23.23,0,0
IMG-500208,Control,B03,99.14,230,241.83,778.91,1454.9,384.1,0.8492,0.8863,23.15,0,0
IMG-500554,TreatmentA,B02,90.16,250,146.31,740.83,1307.5,880.8,0.5885,0.9005,22.99,1,0
IMG-500308,TreatmentA,B01,84.23,231,195.45,713.31,2056.7,1007.1,0.8866,0.9492,15.72,0,1
IMG-500489,TreatmentA,B01,126.62,251,131.68,261.7,1181.6,431.0,0.6993,0.8883,18.61,1,0
IMG-500431,Control,B03,86.41,248,203.21,557.19,1346.6,872.9,0.6263,0.959,16.92,1,1
IMG-500158,TreatmentA,B02,116.93,259,228.08,860.51,1383.3,877.0,0.5514,0.9625,10.67,1,0
IMG-500237,Control,B01,110.49,246,156.86,735.28,1267.2,415.3,0.7162,0.9685,32.32,0,0
IMG-500580,TreatmentB,B03,127.08,231,233.48,923.81,1277.2,950.8,0.8813,0.9376,79.55,1,0
IMG-500795,TreatmentB,B03,101.45,248,136.28,438.98,1161.6,1254.1,0.9543,0.7658,18.38,1,1
IMG-500203,Control,B03,115.08,223,213.62,503.6,1259.2,153.4,0.7159,0.9709,24.96,0,1
IMG-500826,TreatmentA,B01,104.97,230,185.97,922.08,1559.6,481.3,0.7092,0.7374,20.52,0,1
IMG-500387,TreatmentA,B01,110.57,226,203.48,797.05,1151.8,407.5,0.6631,0.9498,13.43,1,0
IMG-500491,TreatmentB,B03,97.29,257,204.17,836.3,1221.9,698.8,0.8568,0.9663,28.7,0,1
IMG-500605,Control,B03,109.65,242,160.48,854.01,1233.2,643.8,0.9667,0.9437,29.75,0,0
IMG-500729,TreatmentB,B03,82.58,266,227.62,900.02,1355.3,689.0,0.788,0.9804,24.57,1,0
IMG-500316,TreatmentA,B03,118.81,221,181.48,752.69,1534.2,766.4,0.8775,0.968,42.7,0,1
IMG-500290,Control,B01,120.49,227,230.12,519.41,1100.8,85.0,0.8464,0.946,20.04,1,0
IMG-500104,TreatmentA,B01,121.03,228,158.71,454.43,1441.0,505.7,0.9006,0.9034,27.25,0,1
IMG-500607,TreatmentB,B03,101.98,245,163.36,826.28,1111.1,1161.3,0.7759,0.9821,16.3,1,1
IMG-500852,TreatmentA,B02,104.26,255,207.48,818.27,806.3,411.4,0.7634,0.8852,25.07,1,0
IMG-500907,TreatmentB,B03,92.39,253,223.95,815.57,910.2,908.1,0.8953,0.9707,16.99,1,0
IMG-500750,Control,B03,70.05,241,194.78,852.41,1654.1,117.8,0.9012,0.99,32.69,0,1
IMG-500520,Control,B02,80.97,232,168.05,753.54,1207.2,418.0,0.547,0.9964,23.52,1,1
IMG-500526,TreatmentB,B02,94.26,255,184.95,787.6,1881.4,1206.9,0.5915,0.9039,14.44,1,1
IMG-500682,TreatmentB,B01,117.56,246,189.07,604.37,1297.6,1089.0,0.7274,0.9168,17.11,1,1
IMG-500439,TreatmentA,B02,91.75,231,156.05,859.99,1423.9,733.4,0.6923,0.9253,16.43,0,0
