sample_id,role,colony,body_mass_g,age_months,resting_metabolic_rate,body_temp_c,hypoxia_survival_min,hyaluronan_mda,cortisol_ng_ml,incisor_wear_score,chirps_per_hour,grooming_events_day,telomere_length_kb,target_a,target_b
NMR-000001,Worker,Colony-E,32.9,23,0.251,30.6,21.0,7.14,10.56,0.632,31,8,20.37,1,0
NMR-000002,Worker,Colony-D,23.9,47,0.189,33.8,20.9,4.16,11.73,0.116,21,16,19.12,1,0
NMR-000003,Worker,Colony-E,15.4,45,0.14,31.9,17.2,7.68,13.3,0.511,24,14,22.09,1,1
NMR-000004,Worker,Colony-A,22.6,82,0.13,32.4,14.3,6.43,14.8,0.433,23,10,15.84,1,0
NMR-000005,Worker,Colony-C,26.9,45,0.174,34.5,23.1,8.02,7.55,0.127,22,10,18.58,0,0
NMR-000006,Worker,Colony-D,27.2,105,0.278,31.7,21.3,5.66,25.64,0.391,19,8,18.91,1,0
NMR-000007,Breeder,Colony-D,39.3,58,0.186,31.6,11.3,7.61,1.7,0.414,27,8,21.38,1,1
NMR-000008,Soldier,Colony-A,29.6,123,0.258,31.4,15.3,7.58,24.55,0.346,22,8,19.92,0,0
NMR-000009,Worker,Colony-D,22.5,76,0.167,32.7,10.7,6.22,19.96,0.35,23,10,22.47,1,0
NMR-000010,Queen,Colony-C,47.3,22,0.14,32.3,55.6,7.89,2.47,0.538,19,5,16.38,1,0
NMR-000011,Breeder,Colony-B,45.6,39,0.337,31.5,17.6,6.34,2.08,0.352,24,10,16.73,0,1
NMR-000012,Breeder,Colony-D,32.4,85,0.355,32.3,9.5,7.18,3.77,0.281,27,11,15.77,0,1
NMR-000013,Worker,Colony-B,24.7,39,0.436,33.8,15.9,7.02,12.31,0.028,25,9,17.55,0,0
NMR-000014,Soldier,Colony-B,33.8,61,0.341,32.4,43.0,4.72,6.76,0.314,24,7,14.53,0,1
NMR-000015,Soldier,Colony-E,31.6,32,0.242,32.4,9.9,7.44,9.79,0.36,29,11,20.04,0,0
NMR-000016,Breeder,Colony-E,42.1,62,0.248,32.1,14.4,7.69,3.97,0.359,23,7,18.99,0,1
NMR-000017,Soldier,Colony-C,23.1,66,0.214,32.8,23.1,5.81,7.97,0.703,26,11,16.34,1,0
NMR-000018,Worker,Colony-A,28.3,92,0.192,32.2,17.8,8.58,14.07,0.359,21,14,19.08,1,1
NMR-000019,Worker,Colony-D,25.4,41,0.187,31.3,16.3,8.64,16.94,0.28,25,8,21.57,1,0
NMR-000020,Worker,Colony-E,32.1,52,0.163,31.0,9.3,6.16,14.79,0.316,26,6,19.07,1,0
NMR-000021,Soldier,Colony-B,33.5,29,0.271,32.4,24.4,5.99,6.47,0.147,24,12,21.37,1,1
NMR-000022,Worker,Colony-A,31.6,32,0.265,31.9,25.8,6.63,16.21,0.378,21,19,17.96,0,1
NMR-000023,Worker,Colony-C,16.4,53,0.175,32.9,34.4,7.78,9.48,0.129,18,13,17.31,1,1
NMR-000024,Breeder,Colony-C,32.2,169,0.189,32.0,26.9,7.44,5.07,0.394,14,8,21.96,0,1
NMR-000025,Worker,Colony-A,27.2,47,0.164,32.1,17.3,5.45,13.61,0.266,20,12,15.42,1,1
NMR-000026,Worker,Colony-E,27.1,37,0.269,33.8,29.4,5.3,8.73,0.501,16,13,23.24,1,0
NMR-000027,Worker,Colony-B,21.9,61,0.243,32.5,9.6,6.95,28.39,0.316,28,10,18.99,0,1
NMR-000028,Breeder,Colony-E,43.1,60,0.27,31.3,32.1,8.04,4.8,0.57,14,9,20.5,1,1
NMR-000029,Worker,Colony-A,27.1,48,0.207,31.8,13.5,6.84,9.6,0.108,14,14,22.44,1,1
NMR-000030,Worker,Colony-B,31.1,47,0.224,31.6,32.4,7.32,16.41,0.237,22,7,22.18,1,1
NMR-000031,Worker,Colony-A,27.1,26,0.245,32.3,11.9,6.97,8.85,0.407,26,7,11.95,0,1
