sample_id,group,batch,measure_1,resting_potential_mv,input_resistance_mohm,membrane_tau_ms,rheobase_pa,ap_threshold_mv,ap_half_width_ms,max_firing_rate_hz,spike_count,adaptation_index,target_a,target_b
NEU-500451,Control,B01,93.34,-62.81,255.4,27.09,134.6,-31.03,0.746,16.7,90,0.6575,0,1
NEU-500591,TreatmentB,B03,105.07,-60.1,238.1,18.29,85.5,-40.57,0.917,47.6,88,0.5605,1,1
NEU-500137,TreatmentA,B02,100.51,-52.98,342.4,14.82,76.0,-46.28,1.58,53.8,80,0.3202,1,0
NEU-500291,Control,B02,123.04,-62.69,68.3,11.61,103.8,-45.02,0.95,51.0,96,0.4273,0,0
NEU-500849,TreatmentB,B02,102.68,-57.88,165.9,8.48,82.4,-45.78,1.131,51.5,76,0.593,1,0
NEU-500466,TreatmentB,B03,104.87,-62.3,399.0,5.39,106.6,-37.17,1.506,57.9,114,0.455,0,1
NEU-500723,TreatmentB,B01,91.86,-73.37,281.2,10.68,52.8,-44.93,1.32,59.7,98,0.5331,1,0
NEU-500806,TreatmentB,B03,95.53,-67.14,286.8,16.02,43.7,-50.21,1.138,76.0,72,0.2759,1,1
NEU-500112,TreatmentA,B02,72.78,-56.99,406.8,18.43,84.3,-42.79,1.271,36.5,90,0.5429,0,1
NEU-500586,TreatmentB,B03,83.35,-60.16,161.2,9.17,97.0,-41.33,1.031,56.6,90,0.5166,0,0
NEU-500149,TreatmentA,B02,62.2,-71.08,245.1,15.68,170.3,-42.44,0.839,66.2,83,0.1618,1,0
NEU-500757,Control,B02,79.31,-65.48,182.6,11.63,129.7,-45.36,0.667,27.2,82,0.465,1,1
NEU-500361,Control,B03,112.55,-59.82,106.4,25.63,159.2,-41.24,1.252,37.8,83,0.2406,1,0
NEU-500989,TreatmentA,B02,107.45,-58.23,234.6,12.92,94.8,-43.0,0.993,41.4,81,0.3184,1,0
NEU-500436,TreatmentB,B03,138.4,-66.18,142.4,17.03,27.0,-34.04,1.086,63.4,87,0.7391,1,1
NEU-500462,TreatmentB,B02,61.14,-54.58,127.7,10.9,35.1,-48.11,0.96,43.7,88,0.2719,1,0
NEU-500191,TreatmentA,B01,96.52,-64.2,121.0,10.1,124.0,-48.18,0.854,49.3,95,0.3716,0,1
NEU-500190,TreatmentB,B02,91.64,-60.93,97.7,10.53,80.1,-41.87,1.121,80.1,99,0.4895,1,1
NEU-500929,TreatmentB,B01,89.15,-58.21,123.6,12.11,85.7,-47.31,1.806,66.5,88,0.2842,1,1
