sample_id,group,batch,measure_1,resolution_ang,r_free,chain_length_aa,molecular_weight_kda,fraction_helix,fraction_sheet,mean_b_factor,radius_gyration_ang,ligand_count,isoelectric_point,target_a,target_b
STR-500392,TreatmentB,B02,119.82,0.84,0.2619,431,16.06,0.3284,0.2649,25.21,24.95,3,4.98,1,0
STR-502329,TreatmentA,B02,103.25,1.9,0.2184,204,23.04,0.6069,0.2159,24.09,18.88,1,9.94,0,0
STR-507065,Control,B03,75.65,3.38,0.2683,331,30.35,0.6737,0.1946,31.79,17.77,4,7.37,0,0
STR-507888,TreatmentB,B01,106.94,1.31,0.2269,133,14.01,0.599,0.1445,51.45,24.57,2,6.83,0,0
STR-502691,TreatmentA,B01,106.23,1.65,0.2595,205,14.59,0.29,0.22,17.48,25.95,0,9.11,0,0
STR-505281,Control,B02,108.83,1.99,0.2183,286,27.8,0.5889,0.2156,40.53,18.83,3,7.98,1,0
STR-509968,TreatmentB,B03,97.2,1.19,0.2217,181,13.68,0.2462,0.2458,23.64,25.42,2,5.69,0,1
STR-501812,TreatmentB,B03,89.36,0.55,0.2409,326,50.93,0.5186,0.2811,23.81,31.55,4,7.07,1,1
STR-508691,Control,B01,121.97,1.6,0.2332,205,22.18,0.4781,0.0919,41.55,34.4,4,9.19,1,0
STR-507060,TreatmentA,B02,100.45,1.23,0.2137,915,39.64,0.218,0.4726,25.1,29.51,3,7.48,1,0
STR-504818,TreatmentB,B02,83.68,1.92,0.2473,133,46.58,0.4614,0.1225,35.44,18.62,1,6.58,0,1
STR-501582,TreatmentB,B02,125.27,0.99,0.2443,333,20.89,0.3557,0.1698,3.3,33.52,3,7.6,1,1
STR-502560,TreatmentB,B02,57.29,1.12,0.2321,732,46.37,0.3053,0.4898,27.24,23.2,0,7.67,1,0
STR-500549,TreatmentA,B02,105.32,1.98,0.2319,242,42.93,0.2469,0.356,16.36,26.68,1,7.03,1,1
STR-501014,TreatmentB,B03,101.13,1.77,0.2356,177,41.37,0.2933,0.1106,18.28,17.96,6,7.26,0,1
STR-502822,TreatmentB,B03,102.05,1.08,0.2419,90,55.91,0.3315,0.3798,22.81,22.88,1,6.97,1,1
STR-500556,TreatmentB,B03,87.02,1.25,0.2479,284,40.07,0.2198,0.2379,30.82,15.95,2,6.61,1,1
STR-500408,Control,B02,105.83,0.99,0.2825,221,12.14,0.3017,0.3409,108.79,26.0,1,9.54,0,0
STR-503144,TreatmentA,B01,93.42,3.33,0.2517,376,52.61,0.5252,0.3354,27.24,24.18,2,6.37,0,1
STR-507353,Control,B02,90.58,2.74,0.2201,295,20.81,0.359,0.3593,26.12,23.24,1,7.64,1,1
STR-507604,TreatmentB,B03,109.56,2.09,0.2773,717,28.49,0.6763,0.2935,9.06,19.59,2,6.28,1,1
STR-507889,Control,B01,135.61,1.82,0.2599,107,18.7,0.4311,0.3534,30.54,28.6,3,9.29,1,0
STR-504365,TreatmentB,B01,96.09,2.17,0.2264,307,55.24,0.2818,0.3621,22.53,9.38,0,6.57,1,1
STR-501281,TreatmentB,B03,71.81,2.81,0.3195,135,82.66,0.6027,0.3776,34.91,19.61,3,5.99,0,1
STR-508087,Control,B02,95.94,2.84,0.2212,359,104.04,0.3734,0.2092,55.48,31.45,2,7.96,0,1
STR-507806,Control,B02,99.61,2.03,0.2323,299,38.68,0.421,0.3726,21.35,30.15,3,7.36,0,1
STR-505332,TreatmentB,B01,86.82,1.36,0.2617,734,15.43,0.4435,0.2876,31.53,19.22,1,7.89,1,1
STR-503894,TreatmentB,B03,98.4,0.47,0.2532,264,21.12,0.4148,0.2387,28.13,15.37,2,6.13,1,0
STR-508143,TreatmentB,B02,78.82,1.04,0.2257,251,14.54,0.6239,0.2458,50.74,18.29,3,7.44,1,0
STR-504962,TreatmentA,B02,97.45,1.5,0.2557,271,9.27,0.2269,0.2753,40.88,28.92,2,6.59,1,1
STR-505106,TreatmentA,B02,73.44,1.91,0.2089,545,26.89,0.4716,0.2485,41.41,23.15,3,7.15,1,1
STR-503939,TreatmentB,B01,84.44,1.38,0.2491,168,73.87,0.4905,0.3125,6.97,27.31,3,6.19,0,1
STR-506851,Control,B02,73.87,2.64,0.2185,335,31.1,0.4853,0.2004,45.57,29.04,2,5.95,0,1
STR-507724,TreatmentB,B03,95.59,1.48,0.2768,130,18.0,0.4709,0.4318,11.77,18.9,3,8.13,1,0
STR-506351,Control,B03,119.2,2.77,0.235,254,42.24,0.5804,0.1814,42.47,22.53,1,7.61,1,0
STR-507311,TreatmentA,B03,120.91,1.7,0.2181,131,30.75,0.3952,0.3332,39.76,21.85,4,5.03,1,0
STR-504012,TreatmentA,B01,87.89,1.25,0.2142,221,28.2,0.4739,0.3323,49.27,19.49,1,7.72,1,1
STR-500306,TreatmentB,B01,84.78,2.3,0.2704,308,46.0,0.2841,0.5858,11.08,24.7,2,5.33,0,0
STR-506233,TreatmentB,B01,92.93,1.75,0.2099,255,33.9,0.2538,0.3861,22.51,25.4,3,5.5,1,0
STR-504885,TreatmentA,B03,96.53,1.48,0.2774,541,24.87,0.6072,0.4157,33.48,32.76,5,5.67,0,1
STR-501431,TreatmentB,B01,100.89,1.73,0.2103,307,25.31,0.2058,0.201,8.17,12.03,3,7.45,1,1
STR-504526,Control,B01,94.33,2.41,0.2873,233,47.58,0.3663,0.1393,18.94,23.01,0,6.02,0,1
STR-508016,Control,B03,108.62,1.63,0.2765,209,17.84,0.2828,0.1197,66.42,21.23,0,6.3,0,1
STR-507706,TreatmentA,B03,110.13,2.05,0.2225,323,51.99,0.2294,0.1641,41.2,13.24,5,8.55,0,1
STR-500683,TreatmentB,B02,87.49,1.67,0.2975,288,15.18,0.6947,0.4115,16.6,22.87,1,6.89,0,1
STR-504847,TreatmentB,B01,102.12,1.3,0.2267,234,23.03,0.4075,0.3735,7.65,29.79,4,7.28,0,1
STR-500393,Control,B01,80.64,2.36,0.2196,698,64.69,0.35,0.2795,36.2,33.71,1,8.47,0,0
STR-506418,Control,B01,126.18,3.59,0.2769,425,31.52,0.4085,0.3655,32.74,26.9,1,5.69,0,0
STR-502474,TreatmentA,B03,89.97,2.68,0.2256,499,19.6,0.4923,0.34,22.06,24.55,2,6.55,0,1
STR-505200,Control,B02,72.54,1.46,0.2557,341,8.19,0.5277,0.2655,62.23,24.08,1,6.04,0,1
STR-508284,TreatmentA,B01,130.11,2.43,0.2401,468,46.39,0.3797,0.2409,47.69,32.27,5,9.23,0,0
STR-502635,Control,B03,94.15,3.39,0.296,292,50.93,0.548,0.2765,41.79,27.68,2,7.79,0,0
STR-505806,TreatmentB,B03,118.95,0.72,0.2692,194,36.29,0.4629,0.4615,43.05,36.01,3,5.81,0,1
STR-505478,TreatmentB,B02,102.24,1.17,0.2663,868,43.04,0.4221,0.3719,16.07,20.45,3,4.73,1,0
STR-506992,TreatmentA,B01,90.12,2.61,0.2705,283,21.69,0.3932,0.3342,13.72,26.92,4,7.35,0,1
