id,name,species,culmen depth (mm),culmen length (mm),flipper length (mm),mass (kg)
N153,prindiville,Gentoo,13.2,46.1,211.0,4.5
N41,broadway,Adelie,18.0,36.5,182.0,3.15
N14,talman,Adelie,21.2,38.6,191.0,3.8
N256,quinn,Gentoo,15.0,49.1,228.0,5.5
N342,austin av jfk,Chinstrap,18.2,49.6,193.0,3.775
N86,chalmers,Adelie,20.3,41.3,194.0,3.55
N126,loris,Adelie,19.0,40.6,199.0,4.0
N191,oakenwald,Gentoo,13.6,44.0,208.0,4.35
N81,iron,Adelie,17.2,34.6,189.0,3.2
N224,browning,Gentoo,15.6,46.4,221.0,5.0
N321,school,Chinstrap,17.9,50.9,196.0,3.675
N33,kingston,Adelie,17.8,39.5,188.0,3.3
N287,lytle,Chinstrap,17.8,46.6,193.0,3.8
N313,greenview,Chinstrap,18.3,47.6,195.0,3.85
N165,george,Gentoo,13.7,45.5,214.0,4.65
N93,ibsen,Adelie,17.1,34.0,185.0,3.4
N16,goodman,Adelie,17.8,36.6,185.0,3.7
N97,grant,Adelie,18.6,38.1,190.0,3.7
N259,anson,Gentoo,14.7,41.7,210.0,4.7
N167,allen,Gentoo,14.6,45.8,210.0,4.2
N257,brainard,Gentoo,13.8,47.3,216.0,4.725
N292,beverly glen,Chinstrap,19.6,50.5,201.0,4.05
N80,tripp,Adelie,19.1,42.1,195.0,4.0
N64,hurlbut,Adelie,18.2,41.1,192.0,4.05
N280,cottage grove,Chinstrap,18.7,45.4,188.0,3.525
N288,oakland,Chinstrap,20.3,51.7,194.0,3.775
N211,grove,Gentoo,14.5,43.2,208.0,4.45
N317,arcade,Chinstrap,19.5,49.0,210.0,3.95
N140,montgomery,Adelie,17.9,39.7,193.0,4.25
N282,superior,Chinstrap,17.8,45.2,198.0,3.95
N276,central,Gentoo,16.1,49.9,213.0,5.4
N223,artesian,Gentoo,15.0,47.7,216.0,4.75
N322,kenwood,Chinstrap,18.5,50.8,201.0,4.45
N236,ada,Gentoo,15.9,50.0,224.0,5.35
N323,gale,Chinstrap,17.9,50.1,190.0,3.4
N182,algonquin,Gentoo,15.3,50.0,220.0,5.55
N131,forrestville,Adelie,17.9,38.5,190.0,3.325
N130,edgebrook,Adelie,18.0,44.1,210.0,4.0
N272,lakewood,Gentoo,,,,
N265,brodman,Gentoo,15.2,43.5,213.0,4.65
N107,joyce,Adelie,17.2,38.6,199.0,3.75
N155,riverview,Gentoo,14.1,48.7,210.0,4.45
N52,ann lurie,Adelie,18.9,40.1,188.0,4.3
N158,carondolet,Gentoo,13.5,46.5,210.0,4.55
N138,corliss,Adelie,20.1,40.2,200.0,3.975
N194,lexington,Gentoo,16.0,49.6,225.0,5.7
N54,plainfield,Adelie,19.5,42.0,200.0,4.05
N196,wentworth,Gentoo,15.0,49.6,216.0,4.75
N24,henderson,Adelie,18.1,38.2,185.0,3.95
N74,neva,Adelie,18.9,45.8,197.0,4.15
N186,moe,Gentoo,17.0,59.6,230.0,6.05
N266,spine,Gentoo,16.3,51.5,230.0,5.5
N227,crosby,Gentoo,15.0,46.4,216.0,4.7
N278,chanay,Chinstrap,19.5,50.0,196.0,3.9
N67,hermione,Adelie,16.2,35.5,195.0,3.35
N124,wallen,Adelie,18.5,41.4,202.0,3.875
N95,linden,Adelie,17.3,36.2,187.0,3.3
N250,ogden,Gentoo,14.6,46.9,222.0,4.875
N34,state line,Adelie,18.9,40.9,184.0,3.9
N71,veterans,Adelie,19.0,33.5,190.0,3.6
N242,belmont,Gentoo,17.0,52.1,230.0,5.55
N335,peshtigo,Chinstrap,18.8,50.2,202.0,3.8
N73,jersey,Adelie,17.2,39.6,196.0,3.55
N104,paris,Adelie,20.0,37.8,190.0,4.25
N83,loop,Adelie,18.8,36.7,187.0,3.8
N139,melrose,Adelie,16.5,37.0,185.0,3.4
N11,blue island,Adelie,17.1,37.8,186.0,3.3
N143,packers,Adelie,15.5,32.1,188.0,3.05
N164,berenice,Gentoo,16.1,49.0,216.0,5.55
N238,nagle,Gentoo,17.3,50.8,228.0,5.6
N263,hoyne,Gentoo,15.2,50.5,216.0,5.0
N45,green,Adelie,16.9,37.0,185.0,3.0
N246,fairhope,Gentoo,16.1,49.5,224.0,5.65
N206,kimberly,Gentoo,15.0,50.1,225.0,5.0
N293,pershing,Chinstrap,20.0,50.3,197.0,3.3
N178,sioux,Gentoo,15.1,46.1,215.0,5.1
N66,kolin,Adelie,18.0,41.6,192.0,3.95
N340,baggot,Chinstrap,19.8,55.8,207.0,4.0
N157,marine,Gentoo,14.5,47.6,215.0,5.4
N268,mcdermott,Gentoo,16.0,55.1,230.0,5.85
N320,dan ryan,Chinstrap,17.0,45.5,196.0,3.5
N225,union,Gentoo,15.6,48.2,221.0,5.1
N169,bryn mawr,Gentoo,13.5,42.0,210.0,4.15
N133,central park,Adelie,18.5,36.8,193.0,3.5
N166,fairview,Gentoo,14.6,48.4,213.0,5.85
N171,hamlet,Gentoo,14.5,46.2,209.0,4.8
N132,vernon,Adelie,19.2,43.1,197.0,3.5
N205,nixon,Gentoo,14.4,45.1,210.0,4.4
N159,hart,Gentoo,14.6,45.4,211.0,4.8
N94,langley,Adelie,18.1,39.6,186.0,4.45
N156,recreation,Gentoo,15.2,50.0,218.0,5.7
N89,gettysburg,Adelie,19.2,38.3,189.0,3.95
N332,meade,Chinstrap,18.8,52.2,197.0,3.45
N279,osage,Chinstrap,19.2,51.3,193.0,3.65
N98,parnell,Adelie,18.5,40.3,196.0,4.35
N78,larchmont,Adelie,19.4,37.2,184.0,3.9
N62,bell,Adelie,21.1,41.3,195.0,4.4
N326,harlem,Chinstrap,17.3,49.8,198.0,3.675
N198,marion,Gentoo,13.9,43.6,217.0,4.9
N226,kennedy,Gentoo,14.8,46.5,217.0,5.2
N262,howe,Gentoo,15.1,48.1,209.0,5.5
N231,sherwin,Gentoo,13.8,45.2,215.0,4.75
N23,gregory,Adelie,19.2,35.9,189.0,3.8
N214,highland,Gentoo,14.9,46.2,221.0,5.3
N235,keating,Gentoo,14.6,47.4,212.0,4.725
N188,bosworth,Gentoo,16.3,48.4,220.0,5.4
N269,manor,Gentoo,15.7,44.5,217.0,4.875
N47,st helen,Adelie,19.0,41.1,182.0,3.425
N192,eugenie,Gentoo,15.7,48.7,208.0,5.35
N173,london,Gentoo,14.3,50.2,218.0,5.7
N228,boulevard,Gentoo,16.0,48.6,230.0,5.8
N111,melvina,Adelie,16.5,38.1,198.0,3.825
N69,dickens,Adelie,16.6,35.9,190.0,3.05
N82,mulligan,Adelie,17.6,42.9,196.0,4.7
N283,dominick,Chinstrap,18.2,46.1,178.0,3.25
N202,oakwood,Gentoo,15.8,45.2,215.0,5.3
N208,besly,Gentoo,15.4,45.0,220.0,5.05
N29,gilbert,Adelie,18.6,37.9,172.0,3.15
N87,de saible,Adelie,19.5,36.3,190.0,3.8
N199,shore,Gentoo,13.9,45.5,210.0,4.2
N105,schilling,Adelie,18.6,37.9,193.0,2.925
N141,belle plaine,Adelie,17.1,40.2,193.0,3.4
N37,western,Adelie,20.0,38.8,190.0,3.95
N55,westshore,Adelie,18.1,34.5,187.0,2.9
N56,buckingham,Adelie,18.6,41.4,191.0,3.7
N213,beacon,Gentoo,13.8,45.3,208.0,4.2
N330,hartland,Chinstrap,19.7,50.7,203.0,4.05
N307,somerset,Chinstrap,16.6,40.9,187.0,3.2
N149,canalport,Adelie,17.8,36.0,195.0,3.45
N315,washburne,Chinstrap,16.6,46.9,192.0,2.7
N9,hyde park,Adelie,18.1,34.1,193.0,3.475
N7,mann,Adelie,17.8,38.9,181.0,3.625
N4,kirkland,Adelie,,,,
N241,jackson,Gentoo,14.0,47.5,212.0,4.875
N328,st louis,Chinstrap,19.0,51.4,201.0,3.95
N76,farrar,Adelie,18.5,42.8,195.0,4.25
N22,cornelia,Adelie,18.7,37.7,180.0,3.6
N248,sandburg,Gentoo,15.7,50.8,226.0,5.2
N137,mildred,Adelie,17.5,35.6,191.0,3.175
N6,ridgeland,Adelie,20.6,39.3,190.0,3.65
N338,summit,Chinstrap,16.5,46.8,189.0,3.65
N106,pleasant,Adelie,18.9,39.7,184.0,3.55
N51,oneida,Adelie,17.7,39.6,186.0,3.5
N344,cheltenham,Chinstrap,18.7,50.2,198.0,3.775
N108,wildwood,Adelie,20.0,38.2,190.0,3.9
N162,englewood,Gentoo,15.4,46.8,215.0,5.15
N50,la crosse,Adelie,21.2,42.3,191.0,4.15
N197,christiana,Gentoo,15.9,50.5,222.0,5.55
N114,oak,Adelie,19.5,42.2,197.0,4.275
N215,farwell,Gentoo,13.9,45.7,214.0,4.4
N99,manistee,Adelie,16.1,33.1,178.0,2.9
N210,st lawrence,Gentoo,15.0,45.5,220.0,5.0
