role,s01,s02,s03,s04,s05,s06,s07,s08,s09,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30
breeder,5,5,10,11,5,3,4,4,6,3,6,3,6,9,7,5,9,5,4,6,10,5,8,4,1,7,8,5,7,7
breeder,3,6,5,8,7,5,5,6,7,5,4,9,6,4,4,5,8,10,2,2,5,6,4,7,5,7,12,12,8,3
soldier,15,16,12,16,12,18,21,9,13,12,14,11,12,11,16,14,11,15,12,17,11,11,10,15,9,20,5,16,18,19
worker,19,14,26,31,25,26,24,14,20,21,21,13,14,25,20,19,12,25,23,18,11,19,19,29,18,27,19,25,22,19
worker,15,14,25,24,25,25,23,19,21,14,18,26,20,19,19,32,19,24,32,21,16,22,30,26,22,21,17,23,13,19
breeder,5,4,3,4,5,9,3,12,4,4,6,5,7,8,7,4,7,5,9,7,5,5,10,5,3,11,7,10,9,6
worker,25,30,30,24,32,25,26,25,31,34,21,16,24,17,14,26,23,27,27,27,27,23,31,29,19,34,28,36,29,36
worker,25,30,35,27,26,30,19,27,21,32,23,25,27,28,28,36,19,35,34,28,31,30,22,21,24,29,34,30,24,24
breeder,7,6,9,7,10,6,6,11,8,10,4,7,5,9,13,11,8,9,9,6,9,4,3,12,7,15,5,3,8,7
breeder,4,7,9,8,3,11,8,6,6,12,8,9,8,8,1,4,9,5,6,6,3,1,8,6,4,5,5,5,7,4
breeder,6,5,11,2,8,3,6,8,5,5,7,7,6,4,9,6,7,8,5,6,4,2,2,4,3,4,10,5,8,5
breeder,4,4,6,6,8,8,12,5,4,12,5,5,9,2,3,10,6,5,6,7,8,3,4,3,6,7,9,7,7,9
worker,31,28,35,30,45,26,33,30,30,32,25,21,21,30,27,28,26,23,33,26,31,19,28,24,19,38,32,32,38,26
breeder,1,7,4,4,4,4,7,7,3,9,11,5,4,4,5,1,5,5,3,4,2,6,7,4,5,10,8,4,6,9
breeder,3,5,7,11,9,5,9,7,7,6,2,7,9,6,2,7,5,6,8,10,4,3,7,2,10,5,9,4,4,5
soldier,13,11,22,7,12,9,12,21,8,14,9,18,17,10,17,21,9,23,17,13,20,16,18,17,15,9,13,7,13,12
soldier,9,8,16,14,12,12,5,11,15,9,11,14,9,4,8,13,17,16,9,11,5,8,6,8,13,10,9,12,12,4
soldier,10,19,11,19,15,15,21,18,11,14,16,11,10,16,20,18,16,12,19,14,10,17,20,14,18,19,17,22,22,21
worker,19,30,42,33,26,33,40,17,18,27,35,34,30,37,31,35,27,24,28,31,29,18,31,37,17,35,26,33,38,20
soldier,9,12,20,9,17,17,11,15,13,24,14,15,15,12,23,17,21,16,15,13,14,11,20,16,11,14,15,12,21,17
soldier,22,11,17,11,18,14,14,14,5,15,11,14,13,9,19,10,10,13,10,10,16,9,13,15,11,9,11,17,20,10
worker,37,28,38,27,28,30,41,25,20,18,25,31,30,32,31,33,26,46,27,28,27,26,27,24,17,24,28,30,25,31
soldier,14,16,21,20,23,12,10,9,10,25,17,16,11,14,12,15,17,14,16,15,20,16,23,19,23,17,19,28,20,14
worker,25,27,32,32,31,28,27,28,30,36,19,26,28,24,28,30,24,21,46,27,16,29,31,21,19,28,29,30,32,25
soldier,19,16,12,18,18,16,16,19,22,19,16,19,18,11,16,15,19,16,15,19,18,11,19,19,14,17,19,17,13,16
soldier,24,14,12,13,18,13,16,16,11,14,12,13,17,16,14,17,17,17,17,18,17,21,13,15,11,15,14,13,13,17
breeder,6,5,11,8,7,9,9,12,6,5,9,9,1,9,7,9,5,10,9,10,6,11,9,10,3,9,8,17,6,7
worker,28,22,32,32,28,22,24,27,16,20,23,27,28,29,20,21,23,26,18,20,16,19,22,28,23,23,33,25,21,30
soldier,12,15,16,14,11,10,12,11,12,13,14,13,16,15,14,14,19,10,11,16,17,12,13,11,10,13,18,13,10,7
breeder,6,6,6,16,8,8,3,5,5,9,5,4,6,9,6,8,6,3,7,6,9,8,3,9,3,5,8,4,7,3
worker,24,31,35,26,25,27,42,22,23,33,25,27,33,25,28,31,24,24,21,34,40,23,28,30,24,26,41,36,29,31
breeder,10,5,6,7,6,3,7,5,4,4,7,5,9,5,7,6,10,6,9,5,9,4,5,3,4,5,7,4,6,9
breeder,6,3,8,6,10,3,5,8,3,7,6,11,6,4,7,7,9,7,10,6,5,3,8,4,4,8,6,3,8,5
soldier,12,11,15,13,17,8,12,19,11,11,15,14,11,12,16,17,13,14,13,13,12,11,13,13,6,16,14,14,17,15
worker,24,22,35,33,27,24,34,25,20,25,25,24,31,29,26,38,24,29,28,26,23,34,29,29,26,27,35,30,28,30
soldier,20,17,18,19,14,18,13,20,13,15,18,10,15,10,15,22,15,16,13,13,10,18,14,11,14,29,26,18,15,20
worker,19,16,34,27,19,23,28,25,19,26,15,20,21,25,26,28,31,23,21,23,28,21,28,26,22,28,19,24,24,23
worker,24,17,26,25,25,29,26,26,14,24,16,25,20,17,18,17,22,24,19,26,18,22,24,16,18,25,26,17,36,31
worker,23,27,25,30,27,18,19,10,19,24,11,22,32,10,27,27,19,21,23,21,19,23,33,25,20,14,22,24,23,21
soldier,15,18,24,21,27,14,11,13,9,14,16,19,16,19,13,12,22,17,15,22,11,15,20,20,17,16,19,22,19,23
soldier,16,23,12,15,20,10,11,15,14,10,10,10,6,11,13,15,16,6,7,12,15,10,15,24,9,17,13,22,13,10
worker,20,28,36,23,32,28,24,28,38,23,22,21,26,32,34,22,35,30,28,20,28,18,25,30,24,31,23,37,29,16
soldier,8,11,22,18,24,15,17,20,12,19,16,7,15,25,16,17,17,14,9,13,10,10,20,13,23,14,23,23,19,16
worker,20,19,31,23,38,22,19,23,20,19,24,20,22,22,19,23,22,23,18,24,26,22,29,28,21,29,35,23,22,26
breeder,9,6,5,4,8,7,4,7,6,11,5,6,8,6,8,5,3,11,3,3,9,5,10,3,6,8,8,5,5,4
soldier,14,10,19,26,15,15,26,13,18,13,17,12,13,12,13,14,16,17,15,18,18,16,29,16,14,21,18,20,17,14
soldier,13,13,19,15,21,13,13,11,13,9,19,18,12,9,11,14,18,16,19,12,15,13,21,23,10,19,16,20,18,21
soldier,12,21,23,23,17,16,16,15,18,16,16,16,22,12,17,20,22,24,17,27,18,14,21,25,17,24,28,18,23,16
worker,28,16,38,25,26,28,17,21,28,29,23,30,38,26,26,35,23,28,13,34,27,30,25,25,20,19,23,39,29,27
worker,25,22,22,18,20,24,25,27,22,27,22,29,28,20,30,29,27,25,14,20,34,15,29,26,19,23,30,23,22,24
soldier,11,12,12,16,20,24,18,13,18,16,16,13,10,23,19,16,12,23,18,21,11,10,20,24,13,17,17,20,18,16
breeder,10,9,9,3,8,9,4,2,8,7,11,11,5,6,2,7,5,5,2,5,8,6,6,7,6,7,5,13,9,8
breeder,4,4,3,6,7,6,2,10,3,9,7,4,6,6,11,8,6,5,8,7,5,5,7,5,6,6,6,7,7,6
soldier,10,11,9,15,12,5,11,9,13,7,11,14,16,16,12,11,13,12,13,9,16,11,14,17,12,18,23,19,15,15
breeder,7,3,5,7,8,5,10,5,3,9,5,7,10,7,7,4,5,4,10,4,6,11,6,7,8,7,8,14,13,12
soldier,13,17,18,16,10,20,17,11,15,14,15,21,17,17,11,16,9,17,18,18,14,14,12,16,11,11,9,18,17,11
breeder,8,1,11,5,3,6,5,10,6,12,6,7,4,3,4,5,5,6,3,6,4,13,15,6,9,5,2,11,8,8
breeder,8,9,13,12,5,2,9,5,9,9,5,5,6,9,5,3,9,12,4,8,5,4,18,8,6,9,4,9,5,9
worker,31,38,38,26,41,26,33,32,26,30,26,24,27,25,28,26,29,38,25,35,33,23,27,26,26,36,32,38,25,37
